payment_id,PARTN,AVKON,SGTXT,KWBTR,KWAER,BVDAT
[0],Bertolini & Co. SRL,JP10BDVR92723039543589,INV100000000202749 ,6949100.22,JPY,20090922
[1],Bertolini & Co. SRL,JP10BDVR92723039543589,INV1000070000022749 INV10000,17219554.12,JPY,20090922
[2],Bertolini & Co. SRL,JP10BDVR92723039543589,INV100000000002294 ,6691847.68,JPY,20211011
[3],Bertolini & Co. SRL,JP10BDVR92723039543589, 9647723133,6068091.73,JPY,20211012
[4],Dubois & Co. S.A.R.L.,ZW36YWNE17469290674294, 10000002946 7INV100000000007826 NUM 8di9jnd8gkeq1e,278910.95,USD,20201014
[5],Ramirez & Hijos Consultoría,EC52ABOT61230474486347,receipt number INV10000000048027 ,85146.96,USD,20231027
[6],Nexus Financial Services,PA09PJVM46986363192179,receipt number 407098652 9  REFERENCE kynmculk0q,40603.64,USD,20171005
[7],Zhang & Co. Limited,US49NYRG26232164607062,receipt number INV10000000000249 ,133938.29,USD,20031017
[8],Aurora Digital Labs,US30QLXI48317160457318,63577828149 ,203641.89,USD,20011015
[9],Vista Health Care Services,SV32NJKO48334737694695,payment  247431550,16808.84,USD,20241003
[10],Vista Health Care Services,SV32NJKO48334737694695,payment  32474315050,31270.609999999997,USD,20241026
[11],H&Co. Enterprises,ES21DMQH18438233280127,ORDER OF INV100000000013418 4521451837,53806.32,EUR,20201001
[12],Shoreline Property Group,PA04ULMP25623811229020, IN1V00000000001772 REFERENCE wbsqfbgmdp4,119491.31,USD,20031026
[13],Zhang & Co. Limited,US15SVBG74166913229289,receipt number INV100000000001254 8569973424,223937.27000000002,USD,20221019
[14],PL Innovations,IT64AITM32552963920417,ORDER OF - 4383396806 - 0307962635 - 9767047174 - 6623402217 - 1283433507 - 7452573180 - 5735145729 ,762844.3300000001,EUR,20191001
[15],Nakamura & Co. 株式会社,IE96HMFG05609084516214,+ 6694520639+ 0909370975+ 0679919258+ 8624481589+ 4717758716+ 6691248008 ,994851.8500000001,EUR,20171004
